sequence	stool-2DSS__10	stool-2DSS__11	stool-2DSS__12	stool-2DSS__13	stool-2DSS__14	stool-2DSS__16	stool-2DSS__18	stool-2DSS__19	stool-2DSS__1	stool-2DSS__21	stool-2DSS__23	stool-2DSS__24	stool-2DSS__25	stool-2DSS__27	stool-2DSS__28	stool-2DSS__2	stool-2DSS__30	stool-2DSS__3	stool-2DSS__5	stool-2DSS__6	stool-2DSS__7	stool-2DSS__8	stool-2DSS__9	stool-3DSS__11	stool-3DSS__16	stool-3DSS__21	stool-3DSS__22	stool-3DSS__23	stool-3DSS__24	stool-3DSS__26	stool-3DSS__27	stool-3DSS__29	stool-3DSS__2	stool-3DSS__30	stool-3DSS__7	stool-4DSS__16	stool-4DSS__1	stool-4DSS__23	stool-4DSS__24	stool-4DSS__6
ASV25:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter;s__NA	371	0	0	73	117	451	208	51	167	0	132	243	0	0	0	238	0	0	0	0	102	24	25	0	0	0	0	0	0	0	95	0	0	40	0	0	0	0	0	181
ASV26:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	356	0	0	71	165	871	154	0	258	0	616	110	0	0	0	134	0	0	0	5	85	0	6	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	368
ASV27:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	346	0	0	86	183	444	409	0	303	0	946	273	0	0	0	378	0	0	0	0	148	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	170
ASV28:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	337	0	0	59	74	364	182	17	89	0	196	109	0	15	0	104	0	6	0	0	164	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	178
ASV29:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	0	0	0	0	0	0
ASV30:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	270	0	0	118	76	86	21	0	299	0	286	116	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	0	0	0	0	0	0	175
ASV31:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	255	0	0	76	78	504	417	19	191	0	95	179	0	0	0	117	0	0	0	0	99	0	12	0	0	0	0	0	0	0	51	0	0	80	0	0	0	0	0	120
ASV32:p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_apodemi(AJ871178)	219	86	0	0	205	607	401	222	0	473	1400	362	0	1653	0	73	0	236	275	743	259	287	130	0	0	0	0	0	0	0	201	0	0	387	0	248	0	114	930	236
ASV33:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__NA	200	13	0	35	33	0	0	60	65	0	62	39	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0
ASV34:p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__NA	185	0	0	23	9	6	478	0	12	0	262	0	0	0	0	0	0	0	0	0	6	0	80	0	0	0	0	0	0	0	117	0	0	37	0	0	0	0	0	23
ASV35:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	180	0	0	0	111	351	195	447	131	18	283	157	0	154	0	109	0	0	22	37	112	96	176	0	0	0	0	0	0	0	104	0	0	117	0	0	0	103	87	130
ASV36:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	178	0	0	30	0	98	107	0	80	0	206	159	0	0	0	77	0	0	0	0	249	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	15
ASV37:p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	165	0	0	64	0	0	370	1341	0	0	71	0	0	0	0	0	0	36	0	0	145	0	708	0	0	0	0	0	0	0	79	0	0	0	0	28	0	284	0	0
ASV38:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis(AB050110)	160	249	0	76	56	437	0	2058	0	337	0	97	0	193	0	0	0	388	722	627	228	2045	623	0	0	0	0	0	0	0	528	0	0	252	0	338	0	430	946	0
ASV39:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	142	0	0	72	34	152	288	0	186	0	212	281	0	0	0	216	0	0	0	0	192	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	151
ASV40:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	132	0	0	30	50	149	118	54	79	0	55	123	0	0	0	47	0	0	0	0	128	0	0	0	0	0	0	0	0	0	43	0	0	75	0	0	0	0	0	46
ASV41:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__NA	124	0	0	23	194	354	526	0	77	0	58	137	0	0	0	135	0	0	0	0	335	0	19	0	0	0	0	0	0	0	153	0	0	75	0	0	0	0	0	374
ASV42:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	121	0	0	59	0	251	313	0	147	0	20	467	0	0	0	464	0	0	0	0	308	0	111	0	0	0	0	0	0	0	146	0	0	101	0	202	0	68	0	141
ASV43:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas;s__NA	120	0	0	88	0	104	138	43	0	57	48	260	0	0	0	128	0	47	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	177	0	101	0	0	0	0
ASV44:p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA;g__NA;s__NA	120	0	0	0	75	0	55	0	0	0	112	156	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	106
ASV45:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	119	0	0	0	0	163	129	0	170	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV46:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	115	0	0	0	65	0	0	0	0	0	69	65	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV47:p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__NA	114	0	0	223	725	98	447	20	445	154	254	1180	0	0	0	265	0	19	0	0	39	0	44	0	0	0	0	0	0	0	94	0	0	252	0	86	0	0	0	206
ASV48:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_sp.(JF824799)	113	0	0	24	0	30	0	80	0	33	33	38	0	71	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	21
ASV49:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV50:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__NA	110	307	0	0	99	479	100	1003	108	298	91	195	0	322	0	92	0	998	827	1878	322	4310	1025	0	0	0	0	0	0	0	0	0	0	1475	0	1149	0	763	2695	0
ASV51:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	104	0	0	0	0	104	84	0	35	0	95	49	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV52:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__NA;s__NA	103	22	0	30	52	66	118	10	109	0	174	187	0	244	0	49	0	0	0	25	132	0	11	0	0	0	0	0	0	0	0	0	0	133	0	15	0	7	5	71
ASV53:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVb;s__NA	97	0	0	0	0	60	0	0	0	0	109	0	0	0	0	52	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	66	145	0
ASV54:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	97	0	0	0	21	56	65	0	0	0	52	30	0	0	0	62	0	0	0	0	0	55	44	0	0	0	0	0	0	0	26	0	0	61	0	0	0	0	0	0
ASV55:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	96	0	0	52	85	223	109	39	105	0	314	153	0	0	0	75	0	0	0	0	106	0	18	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	135
ASV56:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri(AB064923)	93	27	0	34	0	26	49	25	56	0	0	38	0	24	0	32	0	28	48	53	66	51	107	0	0	0	0	0	0	0	54	0	0	52	0	45	0	52	55	34
ASV57:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__NA	93	0	0	0	0	10	39	0	0	0	34	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	4
ASV58:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__NA;s__NA	90	0	0	0	0	0	0	0	0	0	0	0	0	80	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV59:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	90	0	0	38	0	322	137	0	73	0	0	76	0	0	0	195	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88
ASV60:p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_oris(X94229)	89	0	0	0	96	100	0	0	73	0	143	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68
ASV61:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	87	0	0	0	0	110	87	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV62:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__NA	84	0	0	0	244	106	42	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV63:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron(AE015928)	84	1414	0	0	0	0	54	5111	0	5090	22	118	0	4828	0	0	0	479	787	369	0	2553	572	0	0	0	0	0	0	0	0	0	0	63	0	221	0	177	96	0
ASV64:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	82	0	0	0	15	87	45	33	63	0	68	40	0	18	0	88	0	0	0	0	75	11	0	0	0	0	0	0	0	0	66	0	0	70	0	0	0	0	0	189
ASV65:p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter_hepaticus(U07574)	81	133	0	0	58	131	83	60	0	48	58	70	0	69	0	84	0	211	0	43	38	145	120	0	0	0	0	0	0	0	124	0	0	0	0	134	0	0	390	23
ASV66:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__NA	80	0	0	0	0	0	12	0	0	0	13	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	30	0	0	0	0	0	44
ASV67:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii(AJ413954)	74	35	0	0	0	0	50	0	40	32	0	0	0	43	0	0	0	30	0	51	0	49	90	0	0	0	0	0	0	0	55	0	0	58	0	60	0	45	52	0
ASV68:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	71	0	0	0	130	0	0	0	170	0	0	0	0	0	0	74	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788	0	120	0	0	0	0
ASV69:p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Kandleria;s__NA	71	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0
ASV70:p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA;g__NA;s__NA	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV71:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium IV;s__NA	70	0	0	0	179	0	163	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	72	0	0	0	0	0	0
ASV72:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris(X83953)	70	45	0	0	0	0	0	0	30	47	0	0	0	34	0	23	0	20	34	72	0	52	73	0	0	0	0	0	0	0	36	0	0	35	0	33	0	48	76	0
ASV73:p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA;g__NA;s__NA	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV74:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	69	0	0	0	40	175	321	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142
ASV75:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	69	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV76:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	68	0	0	81	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV77:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor;s__NA	67	0	0	0	0	0	214	0	40	0	0	431	0	0	0	134	0	0	0	0	0	0	416	0	0	0	0	0	0	0	0	0	0	610	0	0	0	0	0	136
ASV78:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	67	0	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV79:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Sporobacter;s__NA	67	0	0	0	0	0	81	0	27	24	18	221	0	0	0	107	0	0	0	0	81	0	32	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	19
ASV80:p__Proteobacteria;c__Deltaproteobacteria;o__NA;f__NA;g__NA;s__NA	63	0	0	0	32	94	113	37	0	0	62	60	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	65	0	0	0	0	0	60
ASV81:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__NA;g__NA;s__NA	63	0	0	0	46	34	31	0	60	0	73	80	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44
ASV82:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	62	0	0	0	119	79	36	0	19	0	38	117	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
ASV83:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	61	0	0	333	0	0	342	0	0	0	52	0	0	0	0	56	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59
ASV84:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium IV;s__NA	60	0	0	0	77	177	0	47	0	0	57	66	0	0	0	78	0	0	0	0	42	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0
ASV85:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA;s__NA	59	0	0	0	90	0	101	0	0	0	76	196	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117
ASV86:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	59	0	0	0	0	601	0	45	98	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	31	116
ASV87:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter;s__NA	57	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV88:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium XlVa;s__NA	56	0	0	0	206	249	344	0	59	0	98	0	0	0	0	840	0	87	0	0	0	83	109	0	0	0	0	0	0	0	0	0	0	236	0	286	0	109	42	235
ASV89:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Acetatifactor;s__NA	55	0	0	0	0	111	240	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV90:p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii(AJ413954)	53	43	0	0	0	0	0	0	45	44	0	0	0	26	0	0	0	46	0	68	0	31	64	0	0	0	0	0	0	0	0	0	0	59	0	42	0	55	37	0
ASV91:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	52	0	0	0	0	0	28	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV92:p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__NA	52	0	0	22	21	60	46	0	54	0	33	40	0	0	0	30	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
